tiempo,Susceptibles,Expuestos,Asintomáticos (I0),Modedados (I1),Severos (I2),Críticos (I3),Recuperados (R),Muertos (D),Muertes naturales(NR)
2020-01-02,327308,10,1,0,0,0,0,0,0
2020-01-03,327287.999217888,3.6353821118202205,4.583562111820219,0.024390000000000002,0.0,0.0,0.0,0.0,196.3848
2020-01-04,327267.106217211,4.528600716216241,8.87464263940193,0.135588207807295,0.0005948721,0.0,0.0005948721,0.0,196.3848
2020-01-05,327242.596382843,8.146479057230751,16.5612377150589,0.34873374539388796,0.0038873595579009997,1.4508930519e-05,0.003916347675334,0.0,196.384800017429
2020-01-07,327212.013554983,14.220698041018698,29.9237324176832,0.7441567172140171,0.012298162908441003,0.000108569777357,0.012516580607723999,1.4499999999999999e-08,196.38480029310298
2020-01-09,327171.42586506304,24.2270892424875,52.6001738462864,1.45584656854846,0.030148193047954,0.000402895884831,0.030965889304881002,1.2307870787570902e-07,196.38480125470102
2020-01-10,327114.617367755,40.4499260146842,90.324358852256,2.70325671085249,0.064920976426411,0.001117332248519,0.067207753245752,5.25974592706661e-07,196.384803642965
2020-01-11,327031.86894907197,66.39268781420729,152.036438390739,4.84033539208132,0.129269984989063,0.002642854706441,0.134720246650822,1.6433068412252599e-06,196.38480871340698
2020-01-12,326908.134684073,107.382671551785,251.540581705116,8.43044834421859,0.244172870268043,0.005658796909436,0.255922185785236,4.286161547665799e-06,196.384818554827
2020-01-13,326720.337856742,171.451420596653,409.95716935780996,14.3599044968909,0.44383612907769704,0.011320934359427,0.467483401097276,9.94495845710183e-06,196.384836586927
2020-01-14,326433.40337901696,270.598460831853,659.3116496735411,24.008521786848696,0.7832490365686609,0.021559446729126,0.828523260794595,2.12658928165285e-05,196.38486833047799
2020-01-16,325994.513964309,422.56774453915705,1047.7138645266198,39.5035650760051,1.34971343894799,0.039545680201533,1.4331531250147,4.2825339545654706e-05,196.38492258925598
2020-01-17,325324.949224462,653.265014149358,1646.6863462162,64.0938142796055,2.28028588037581,0.070415933829431,2.42949293033816,8.23710197471871e-05,196.38501324980498
2020-01-18,324308.810164997,999.8728120033198,2561.2278717586,102.693246133539,3.78791783803303,0.122383152760756,4.04823575859359,0.00015278695357700002,196.38516200183898
2020-01-19,322778.119510402,1514.4752140865398,3942.9802575306103,162.65690565253402,6.20021879516042,0.20842857385431898,6.645108936072299,0.000275170106337,196.38540242058997
2020-01-20,320494.595118956,2267.3854854711603,6006.040506056539,254.858992204841,10.0161973876118,0.348851141571151,10.7632019459048,0.00048359868019199996,196.385786047394
2020-01-21,317130.526957756,3348.04343144393,9042.850918476619,395.13030932768305,15.987913153204,0.575068729698785,17.2229696599674,0.0008324498217630001,196.386391372952
2020-01-22,312255.73264400003,4858.93778740805,13433.188171289199,606.048214984826,25.2351961958995,0.935213869932439,27.249281957793198,0.0014075185514620002,196.387336982426
2020-01-23,305345.473939777,6894.64591759035,19631.7262778434,918.90215851909,39.4012257241614,1.5022375224105302,42.6449218923932,0.002342732421394,196.388800561544
2020-01-24,295834.10719986,9496.099466220441,28110.509688346,1375.3079387894102,60.85225347502979,2.38538746941151,66.01580918799151,0.003844969943805,196.39104594557202
2020-01-25,283242.259507817,12577.0559866832,39230.879062979,2027.3795094610898,92.9118276398475,3.7459631530025796,101.04045548686199,0.006230357413215999,196.39446078690602
2020-01-26,267380.36382637604,15847.7335684648,53045.6684784003,2934.7728635713897,140.093494399468,5.81796681854987,152.749309175979,0.009976320566218999,196.399607432398
2020-01-27,248559.373979613,18807.6208285723,69104.4627664219,4156.97760761707,208.25572421357103,8.93336010641563,227.73766218142998,0.015794287384769,196.407288739853
2020-01-28,227660.47891321898,20886.4670976948,86409.93660356071,5741.04677064032,304.565050949782,13.549790499270198,334.19431626167005,0.024727647491183998,196.41862821939702
2020-01-30,205959.19344432198,21689.9024449516,103622.076133716,7708.56099366525,437.160840093034,20.2759819482632,481.63007887444,0.038277437990454,196.43515983471298
